Artist,Album,Year,Label,Played on RKoL Date,Condition,Condition Notes,Generic Notes On Album Content
Woody Allen,Stand Up Comic,1979,Casablanca NBLP-2-7145,06/01/11,,Side 1,
Don Ameche & Frances Langford,The Bickersons Rematch,,Columbia G 30523,n/a,VG+,Clear and smooth on both LPs,Live debate between a married couple.
Pete Barbutti,The Very Funny Side of Pete Barbutti,,Decca DL 75008,n/a,,,
Edgar Bergen and Charlie McCarthy,Fractured Fairy Tales,1979,Radiola MF-1096,07/25/11,,,
Shelly Berman,Inside Shelly Berman,,Verve Records MG V-15003,09/12/11,,,
The Bobs,My I'm Large,1987,Great American Music Hall Records GAMH-01,03/21/12,VG+,,
Victor Borge,Caught In The Act,1955,Columbia CL-646,01/30/12,,,
Victor Borge,Comedy in Music,,Columbia CL-554,n/a,G-,Serious scratches and cover marking.  Barely playable.,
Albert Brooks,A Star Is Bought,1975,Asylum Records 7E-1035,n/a,,,
Tommy Brown,I Aint Ly'ing – Live From The Club,,T & L Productions LP 1100,n/a,,,
Tommy Brown,I Ain't Lying Vol. Two – Live From The Shed House,,T & L Productions LP 1101,n/a,,,
Lenny Bruce,The Midnight Concert,1961,United Artists UAS 6794,08/26/10,,,
Lenny Bruce,The Sick Humor of Lenny Bruce,1959,Fantasy 7003,05/25/11,,,
Lenny Bruce,Carnegie Hall Unabridged,1961,United Artists UAS 9800,n/a,,,
Carol Burnett & Martha Raye,Together For The First Time,1968,Tetragrammaton T-106,n/a,,,
Carol Burnett,Carol Burnett Sings ... The World Listens,1967,RCA Victor LSP-3879,12/27/10,,,
Carol Burnett,Once Upon A Mattress,,Kapp KRS-5507,09/19/11,,,
Carol Burnett,Fade In Fade Out,,ABC-Paramount ABCS-OC-3,02/14/11,VG+,,
Godfrey Cambridge,Here's Godfrey Cambridge Ready or not ...,1964,Epic FLM 13101,12/26/11,,,
George Carlin,A Place For My Stuff!,1981,Atlantic SD 19236,09/06/10,,,
George Carlin,FM & AM,1972,Little David LD 7214,09/09/10,,,
George Carlin,Occupation: Foole,1973,Little David LD 1005,09/13/10,,,
George Carlin,Class Clown,1972,Little David LD 1004,05/01/10,,,
George Carlin,An Evening with Wally Londo Featuring Bill Slaszo,1975,Little David LD 1008,09/17/10,,,
George Carlin,Toldeo Window Boss,1974,Little David LD 3003,08/08/11,,,
George Carlin,On The Road,1977,Little David LD 1075,02/06/12,,,
George Carlin,Take-offs & put-ons,1972,RCA LSP-3772,10/25/10,,,
Cheech and Chong,Cheech and Chong,1971,Ode 77010,n/a,,,
