,Artist,Album,Year,Label,Played on RKoL Date,Condition,Condition Notes,Generic Notes On Album Content
0,Woody Allen,Stand Up Comic,1979,Casablanca NBLP-2-7145,06/01/11,,Side 1,
1,Don Ameche & Frances Langford,The Bickersons Rematch,????,Columbia G 30523,n/a,VG+,Clear and smooth on both LPs,Live debate between a married couple.
2,Pete Barbutti,The Very Funny Side of Pete Barbutti,????,Decca DL 75008,n/a,,,
3,Harry Belafonte,Belafonte at Carnegie Hall,1959,RCA Victor LOC-6006,07/08/11,,,
4,Edgar Bergen and Charlie McCarthy,Fractured Fairy Tales,1979,Radiola MF-1096,07/25/11,,,
5,Shelly Berman,Inside Shelly Berman,????,Verve Records MG V-15003,09/12/11,,,
6,TheBobs,My I'm Large,1987,Great American Music Hall Records GAMH-01,03/21/12,VG+,,
7,Victor Borge,Caught In The Act,1955,Columbia CL-646,01/30/12,,,
8,Victor Borge,Comedy in Music,????,Columbia CL-554,n/a,G-,Serious scratches and cover marking.  Barely playable.,
9,Albert Brooks,A Star Is Bought,1975,Asylum Records 7E-1035,n/a,,,
10,Tommy Brown,I Aint Ly'ing – Live From The Club,????,T & L Productions LP 1100,n/a,,,
11,Tommy Brown,I Ain't Lying Vol. Two – Live From The Shed House,????,T & L Productions LP 1101,n/a,,,
12,Lenny Bruce,The Midnight Concert,1961,United Artists UAS 6794,08/26/10,,,
13,Lenny Bruce,The Sick Humor of Lenny Bruce,1959,Fantasy 7003,05/25/11,,,
14,Lenny Bruce,Carnegie Hall Unabridged,1961,United Artists UAS 9800,n/a,,,
15,Carol Burnett & Martha Raye,Together For The First Time,1968,Tetragrammaton T-106,n/a,,,
16,Carol Burnett,Carol Burnett Sings ... The World Listens,1967,RCA Victor LSP-3879,12/27/10,,,
17,Carol Burnett,Once Upon A Mattress,????,Kapp KRS-5507,09/19/11,,,
18,Carol Burnett,Fade In Fade Out,????,ABC-Paramount ABCS-OC-3,02/14/11,VG+,,
19,Godfrey Cambridge,Here's Godfrey Cambridge Ready or not ...,1964,Epic FLM 13101,12/26/11,,,
20,George Carlin,A Place For My Stuff!,1981,Atlantic SD 19236,09/06/10,,,
21,George Carlin,FM & AM,1972,Little David LD 7214,09/09/10,,,
22,George Carlin,Occupation: Foole,1973,Little David LD 1005,09/13/10,,,
23,George Carlin,Class Clown,1972,Little David LD 1004,05/01/10,,,
24,George Carlin,An Evening with Wally Londo Featuring Bill Slaszo,1975,Little David LD 1008,09/17/10,,,
25,George Carlin,Toldeo Window Boss,1974,Little David LD 3003,08/08/11,,,
26,George Carlin,On The Road,1977,Little David LD 1075,02/06/12,,,
27,George Carlin,Take-offs & put-ons,1972,RCA LSP-3772,10/25/10,,,
28,"Carol Channing,  Eddie Bracken & David Wayne",Archy and Mehitabel & Echoes of Archy,????,Columbia OL-4963,08/30/11,,,
29,Cheech and Chong,Cheech and Chong,1971,Ode 77010,n/a,,,
30,Cheech and Chong,Big Bambu,1972,Ode 77014,10/29/10,,,
31,Cheech and Chong,Sleeping Beauty,1976,Ode 77040,n/a,,,
32,Doug Clark And The Hot Nuts,Nuts To You,????,Gross Record Co. GR 101,n/a,,,
33,Jerry Clower,Live In Picayune,1975,MCA Records MCA-486,05/28/12,G+,Pops and skips.  need better version.,
34,Jerry Clower,Clower Power,1973,MCA Records MCA-317,02/28/12,VG+,dup,
35,Jerry Clower,Mississippi Talkin',1971,MCA Records MCA-333,08/27/12,VG+,,
36,Jerry Clower,Mississippi Talkin',1971,MCA Records MCA-333,10/29/12,VG,,
37,Myron Cohen,This Is Myron Cohen,????,RCA Victor VPS-6052,n/a,,,
38,Tim Conway and Ernie Anderson,are we on?,1966,Liberty LRP-3512,09/08/10,,,
39,Pat Cooper,More Saucy Stories From ... Pat Cooper,????,United Artists UAS 6690,n/a,,,
40,Billy Crystal,Mahvelous!,1985,A&M SP 5096,10/26/10,,,
41,Bill Dana,Jose Jimenez Our Secret Weapon,????,Kapp KL-1320,n/a,,,
42,Bill Dana,The first man in space Jose Jimenez The Astronaut,1960,Kapp KL-1238,09/15/10,,,
43,Rodney Dangerfield,The Loser,????,Decca DL 74798,n/a,,,
44,Rodney Dangerfield,The Loser,1977,Rhino RNLP 012,03/15/11,,,
45,Billy Devroe,Trip Around The World,????,Laff A119,09/16/10,,,
46,Phyllis Diller,Laughs,,Verve V-15026,,G+,Cover torn and taped. needs cleaning,
47,Phyllis Diller,What's Left of Phyllis Diller,????,Verve V-15059,n/a,,,
48,Phyllis Diller,Are You Ready for Phyllis Diller?,????,Verve V-15031,n/a,,,
49,Earle Doud and Alen Robin,Welcome to the LBJ Ranch!,????,Capitol/EMI W2423,n/a,VG+,,
50,W.C. Fields,The Original Voice Tracks From His greatest Movies,????,Decca DL 79164,n/a,VG,Needs Cleaning,
51,W.C. Fields,W.C. Fields on Radio with Edgar Bergen & Charlie McCarthy,????,Columbia Hall of Fame Series CS 9890,09/11/12,VG,,
52,The Firesign Theater,Don't Crush That Dwarf Hand Me The Pliers,1970,Columbia C 30102,03/06/12,VG,Cover in bad shape. needs to be replaced,
53,The Firesign Theater,I Think We're All Bozos On This Bus,1971,Columbia C 30737,06/11/12,VG,Cover has pretty bad ring wear,
54,The Flagpole Singers, Folks Gonfs of Madison Avenue,????,MGM SE 4234,09/18/12,VG, Cover is disintegrating,
55,Redd Foxx,He's Funny That Way,????,Dooto DTL-815,08/31/10,,,
56,Redd Foxx,Adults Only,????,Dooto DTL-840,n/a,,,
57,Redd Foxx,Uncensored,????,Laff A210,n/a,,,
58,Henry Gibson,... by Henry Gibson,????,Liberty LST-7593,01/16/12,VG,,
59,Michale Greer,Tallula in Heaven,????,Rip Rap Records RRR 1010,02/13/12,VG,,
60,Hal Holbrook,Mark Twain Tonight!,????,Columbia OL-6680,01/24/12,G,Needs Cleaning,
61,Jac Holzman,Authentic Sound Effects Vol 8,????,Elektra Records EKS-7258,n/a,,,
62,The Girl Watchers,Music To Watch Girls By,????,Design Records DLP-267,n/a,,,
63,Hudson & Landry,Hanging In There,????,Dove LP 324,09/05/11,,,
64,Spike Jones,New Band,????,Liberty LRP-3349,11/09/11,,,
65,Spike Jones,The Hilarious Spike Jones,1976,Pickwick ACL-7031,n/a,,,
66,Spike Jones,Dinner Music For People Who Arent' Very Hungry,????,Verve Records MG V-4005,n/a,,,
67,Spike Jones,Spike Jones Is Murdering The Classics!,1971,RCA LSC-3235,n/a,,,
